"brand","shop","@lat","@lon"
"Пятёрочка","supermarket","55.8508897","37.4126939"
"Пятёрочка","supermarket","55.8465608","37.4183376"
"Billa","supermarket","55.8500539","37.4172384"
"Пятёрочка","supermarket","55.8562881","37.4786008"
"Пятёрочка","supermarket","55.6721616","37.2846714"
"Пятёрочка","supermarket","55.8378552","37.3809291"
"Пятёрочка","supermarket","55.8051960","37.8430040"
"МТС","mobile_phone","55.8134049","37.6373609"
"Billa","supermarket","55.8083066","37.5278525"
"Пятёрочка","supermarket","55.9084055","37.7196914"
"Пятёрочка","supermarket","55.9048676","37.7170177"
"Пятёрочка","supermarket","55.8091765","37.5298979"
"Пятёрочка","supermarket","55.8891417","37.3587468"
"Перекресток","supermarket","55.7217884","37.8135394"
"Дикси","supermarket","55.5973243","37.7235351"
"М.Видео","electronics","55.8059449","37.3953108"
"Перекрёсток","supermarket","55.6836591","37.4910710"
"Wildberries","outpost","55.7463961","37.8769096"
"Перекресток","supermarket","55.7204878","37.8220993"
"МясновЪ","convenience","55.6185194","37.5928659"
"МегаФон","mobile_phone","55.8996308","37.5882048"
"Ярче!","supermarket","55.8038017","37.9358709"
"Пятёрочка","supermarket","55.8249053","37.5633134"
"Пятёрочка","supermarket","55.6384976","37.6638576"
"Пятёрочка","supermarket","55.7221729","37.4178186"
"Дикси","supermarket","55.6072423","37.7246153"
"Wildberries","outpost","55.8235721","37.8090175"
"Fix price","variety_store","55.8234654","37.8104712"
"Лит.Ра","alcohol","55.8504530","37.4509802"
"Пятёрочка","supermarket","55.7876708","37.4646558"
"Пятёрочка","supermarket","55.7896553","37.4616851"
"Пятёрочка","supermarket","55.7493859","37.7180959"
"Пятёрочка","supermarket","55.6589563","37.5138689"
"Пятёрочка","supermarket","55.7906560","37.9350777"
"Мясницкий ряд","butcher","55.6675561","37.2844515"
"Азбука Вкуса","supermarket","55.7960131","37.5179054"
"Peugeot","car","55.7280240","37.4486245"
"Дикси","supermarket","55.8073381","37.7067617"
"Пятёрочка","supermarket","55.7363193","37.6957567"
"Магнолия","convenience","55.6865332","37.5834164"
"Пятёрочка","supermarket","55.7695527","37.7153151"
"Перекресток","supermarket","55.6475593","37.5958167"
